_id,date,season,opponent,nuscore,oppscore,location,deleted
1,10-Oct-06,2006-07,boston college,2,5,away,0
2,14-Oct-06,2006-07,Vermont,2,2,away,0
3,20-Oct-06,2006-07,boston university,3,4,away,0
4,21-Oct-06,2006-07,Union,5,0,home,0
5,27-Oct-06,2006-07,Michigan,3,4,away,0
6,28-Oct-06,2006-07,Michigan,3,2,away,0
7,3-Nov-06,2006-07,New Hampshire,3,6,away,0
8,4-Nov-06,2006-07,New Hampshire,1,3,home,0
9,10-Nov-06,2006-07,Massachusetts,1,2,away,0
10,14-Nov-06,2006-07,Providence,3,4,away,0
11,17-Nov-06,2006-07,boston college,3,3,home,0
12,23-Nov-06,2006-07,New Hampshire,1,3,home,0
13,1-Dec-06,2006-07,Merrimack,4,1,home,0
14,2-Dec-06,2006-07,Merrimack,2,0,away,0
15,9-Dec-06,2006-07,Maine,1,7,home,0
16,29-Dec-06,2006-07,Colgate,2,5,neutral,0
17,30-Dec-06,2006-07,Holy Cross,7,2,neutral,0
18,5-Jan-07,2006-07,boston college,3,2,home,0
19,6-Jan-07,2006-07,boston university,0,0,away,0
20,12-Jan-07,2006-07,Vermont,2,2,home,0
21,13-Jan-07,2006-07,Vermont,0,3,home,0
22,19-Jan-07,2006-07,Umass Lowell,6,2,away,0
23,20-Jan-07,2006-07,Umass Lowell,2,1,home,0
24,26-Jan-07,2006-07,Maine,6,1,away,0
25,27-Jan-07,2006-07,Maine,1,2,away,0
26,2-Feb-07,2006-07,Merrimack,1,0,home,0
27,5-Feb-07,2006-07,boston university,0,4,neutral,0
28,8-Feb-07,2006-07,Umass Lowell,0,1,away,0
29,12-Feb-07,2006-07,Harvard,3,1,neutral,0
30,16-Feb-07,2006-07,Providence,3,0,home,0
31,17-Feb-07,2006-07,Providence,3,3,away,0
32,23-Feb-07,2006-07,Massachusetts,0,2,away,0
33,25-Feb-07,2006-07,Massachusetts,3,5,home,0
34,28-Feb-07,2006-07,boston university,4,2,home,0
35,8-Mar-07,2006-07,boston college,0,3,away,0
36,9-Mar-07,2006-07,boston college,1,7,away,0
37,19-Oct-07,2007-08,Providence,3,2,home,0
38,20-Oct-07,2007-08,North Dakota,0,3,home,0
39,26-Oct-07,2007-08,Maine,2,3,home,0
40,27-Oct-07,2007-08,Maine,3,4,home,0
41,2-Nov-07,2007-08,New Hampshire,4,7,home,0
42,3-Nov-07,2007-08,New Hampshire,2,1,away,0
43,9-Nov-07,2007-08,Vermont,4,2,home,0
44,10-Nov-07,2007-08,boston university,2,2,home,0
45,16-Nov-07,2007-08,New Hampshire,4,1,away,0
46,17-Nov-07,2007-08,Umass Lowell,2,1,home,0
47,23-Nov-07,2007-08,boston college,4,3,away,0
48,30-Nov-07,2007-08,Brown,4,3,home,0
49,8-Dec-07,2007-08,Union,1,1,away,0
50,28-Dec-07,2007-08,Bowling Green,4,3,neutral,0
51,29-Dec-07,2007-08,Colgate,2,1,neutral,0
52,4-Jan-08,2007-08,Maine,7,3,away,0
53,11-Jan-08,2007-08,Merrimack,2,4,away,0
54,12-Jan-08,2007-08,Merrimack,3,0,home,0
55,18-Jan-08,2007-08,Vermont,2,2,away,0
56,19-Jan-08,2007-08,Vermont,2,5,away,0
57,25-Jan-08,2007-08,Providence,1,5,home,0
58,26-Jan-08,2007-08,Providence,2,5,away,0
59,1-Feb-08,2007-08,Massachusetts,1,0,home,0
60,4-Feb-08,2007-08,Harvard,1,3,neutral,0
61,8-Feb-08,2007-08,Merrimack,4,2,away,0
62,11-Feb-08,2007-08,boston university,4,5,neutral,0
63,15-Feb-08,2007-08,Massachusetts,2,1,home,0
64,16-Feb-08,2007-08,Massachusetts,1,3,away,0
65,22-Feb-08,2007-08,boston university,4,7,home,0
66,23-Feb-08,2007-08,boston university,2,3,away,0
67,29-Feb-08,2007-08,Umass Lowell,4,5,away,0
68,1-Mar-08,2007-08,Umass Lowell,2,3,home,0
69,7-Mar-08,2007-08,boston college,3,2,away,0
70,8-Mar-08,2007-08,boston college,1,4,home,0
71,14-Mar-08,2007-08,Vermont,0,1,away,0
72,15-Mar-08,2007-08,Vermont,2,1,away,0
73,16-Mar-08,2007-08,Vermont,1,4,away,0
74,10-Oct-08,2008-09,Alaska-Fairbanks,2,2,neutral,0
75,11-Oct-08,2008-09,Alaska-Anchorage,4,2,neutral,0
76,17-Oct-08,2008-09,Providence,4,0,away,0
77,18-Oct-08,2008-09,boston college,4,3,home,0
78,24-Oct-08,2008-09,Maine,5,0,away,0
79,25-Oct-08,2008-09,Maine,2,1,away,0
80,31-Oct-08,2008-09,New Hampshire,2,4,away,0
81,1-Nov-08,2008-09,New Hampshire,2,2,home,0
82,8-Nov-08,2008-09,Bentley,4,1,home,0
83,14-Nov-08,2008-09,Vermont,5,3,away,0
84,16-Nov-08,2008-09,boston university,0,3,away,0
85,21-Nov-08,2008-09,New Hampshire,3,2,home,0
86,22-Nov-08,2008-09,Umass Lowell,4,3,away,0
87,28-Nov-08,2008-09,Princeton,3,5,neutral,0
88,29-Nov-08,2008-09,Rensselaer,5,1,neutral,0
89,5-Dec-08,2008-09,Maine,3,2,home,0
90,2-Jan-09,2008-09,Western Michigan,3,1,neutral,0
91,3-Jan-09,2008-09,Minnesota,2,3,neutral,0
92,9-Jan-09,2008-09,Merrimack,2,1,home,0
93,10-Jan-09,2008-09,Merrimack,2,1,away,0
94,16-Jan-09,2008-09,Vermont,3,1,home,0
95,17-Jan-09,2008-09,Vermont,2,4,home,0
96,23-Jan-09,2008-09,Providence,3,1,away,0
97,24-Jan-09,2008-09,Providence,6,3,home,0
98,30-Jan-09,2008-09,Massachusetts,4,6,away,0
99,2-Feb-09,2008-09,boston college,6,1,neutral,0
100,6-Feb-09,2008-09,Merrimack,4,3,home,0
101,9-Feb-09,2008-09,boston university,2,5,neutral,0
102,13-Feb-09,2008-09,Massachusetts,5,3,away,0
103,14-Feb-09,2008-09,Massachusetts,1,4,home,0
104,20-Feb-09,2008-09,boston university,2,2,away,0
105,21-Feb-09,2008-09,boston university,1,1,home,0
106,27-Feb-09,2008-09,Umass Lowell,3,0,home,0
107,28-Feb-09,2008-09,Umass Lowell,3,1,away,0
108,6-Mar-09,2008-09,boston college,2,1,home,0
109,7-Mar-09,2008-09,boston college,1,4,away,0
110,13-Mar-09,2008-09,Massachusetts,1,2,home,0
111,14-Mar-09,2008-09,Massachusetts,4,1,home,0
112,15-Mar-09,2008-09,Massachusetts,3,2,home,0
113,20-Mar-09,2008-09,Umass Lowell,2,3,neutral,0
114,28-Mar-09,2008-09,Cornell,2,3,neutral,0
115,3-Oct-09,2009-10,St. Thomas,7,5,home,0
116,9-Oct-09,2009-10,Colorado College,2,4,away,0
117,10-Oct-09,2009-10,Colorado College,4,3,away,0
118,16-Oct-09,2009-10,Bentley,3,2,home,0
119,23-Oct-09,2009-10,New Hampshire,2,4,away,0
120,24-Oct-09,2009-10,Umass Lowell,1,3,away,0
121,6-Nov-09,2009-10,boston university,1,0,home,0
122,7-Nov-09,2009-10,boston college,1,5,away,0
123,13-Nov-09,2009-10,Maine,2,6,home,0
124,14-Nov-09,2009-10,Maine,5,2,home,0
125,20-Nov-09,2009-10,Providence,4,1,home,0
126,21-Nov-09,2009-10,Providence,3,3,away,0
127,27-Nov-09,2009-10,Vermont,2,3,home,0
128,4-Dec-09,2009-10,Merrimack,1,3,away,0
129,5-Dec-09,2009-10,Merrimack,2,1,home,0
130,12-Dec-09,2009-10,Maine,1,5,away,0
131,2-Jan-10,2009-10,Dartmouth,7,0,neutral,0
132,3-Jan-10,2009-10,Umass Lowell,2,1,neutral,0
133,9-Jan-10,2009-10,Umass Lowell,5,6,home,0
134,10-Jan-10,2009-10,Massachusetts,1,4,home,0
135,15-Jan-10,2009-10,Vermont,3,1,away,0
136,16-Jan-10,2009-10,Vermont,2,9,away,0
137,19-Jan-10,2009-10,Providence,3,1,home,0
138,29-Jan-10,2009-10,Umass Lowell,2,1,home,0
139,1-Feb-10,2009-10,boston university,1,2,neutral,0
140,5-Feb-10,2009-10,Merrimack,5,1,away,0
141,8-Feb-10,2009-10,Harvard,4,1,neutral,0
142,12-Feb-10,2009-10,Massachusetts,2,0,away,0
143,13-Feb-10,2009-10,Massachusetts,6,3,home,0
144,19-Feb-10,2009-10,boston college,3,2,home,0
145,21-Feb-10,2009-10,boston college,1,7,away,0
146,26-Feb-10,2009-10,New Hampshire,4,4,home,0
147,27-Feb-10,2009-10,New Hampshire,1,3,away,0
148,5-Mar-10,2009-10,boston university,4,5,away,0
149,6-Mar-10,2009-10,boston university,3,4,home,0
150,2-Oct-10,2010-11,Acadia University,2,3,home,0
151,8-Oct-10,2010-11,Providence,2,3,away,0
152,9-Oct-10,2010-11,boston college,0,2,home,0
153,15-Oct-10,2010-11,RPI,2,2,home,0
154,22-Oct-10,2010-11,New Hampshire,2,2,home,0
155,23-Oct-10,2010-11,Umass Lowell,3,1,away,0
156,29-Oct-10,2010-11,Holy Cross,3,4,home,0
157,30-Oct-10,2010-11,Bentley,1,2,home,0
158,5-Nov-10,2010-11,Niagara,1,4,home,0
159,12-Nov-10,2010-11,Maine,2,4,away,0
160,13-Nov-10,2010-11,Maine,2,4,away,0
161,19-Nov-10,2010-11,Providence,3,3,away,0
162,20-Nov-10,2010-11,Providence,5,0,home,0
163,26-Nov-10,2010-11,Vermont,2,2,away,0
164,3-Dec-10,2010-11,Merrimack,1,2,home,0
165,4-Dec-10,2010-11,Merrimack,2,1,away,0
166,8-Dec-10,2010-11,boston university,4,5,away,0
167,7-Jan-11,2010-11,Massachusetts,5,3,away,0
168,8-Jan-11,2010-11,Umass Lowell,3,1,home,0
169,14-Jan-11,2010-11,Vermont,1,3,home,0
170,15-Jan-11,2010-11,Vermont,2,0,home,0
171,19-Jan-11,2010-11,Harvard,3,0,home,0
172,22-Jan-11,2010-11,Maine,3,3,home,0
173,28-Jan-11,2010-11,Massachusetts,3,0,home,0
174,29-Jan-11,2010-11,Massachusetts,2,2,away,0
175,4-Feb-11,2010-11,Merrimack,3,4,home,0
176,7-Feb-11,2010-11,Harvard,4,0,neutral,0
